,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price,current_price,1D,1W,1M,3M,6M,1Y
265,FSLR,False,51,129,11,0,47,0,0.0,248.11273711772185,0.0,192.82000732421875,-3.420980105717846,-1.6575712136460745,-17.351048091739006,-24.09557601433436,-8.01888907458209,49.07995421655306
286,GDDY,False,67,28,127,0,6,0,0.0,125.31530431818801,0.0,84.88999938964844,1.470231500953355,4.518589157580342,-4.262996343018687,-32.41242004701189,-41.9991807627497,-53.21318438746021
288,HAL,True,54,11,9,27,0,6,34.57470354020091,0.0,27.586558440500152,36.529998779296875,-1.0831343692755009,8.429801924468991,3.779966685921063,32.32507203272932,65.20723362608254,49.64712412648337
302,HPQ,False,63,12,19,0,7,0,0.0,23.636299490806053,0.0,18.270000457763672,-1.1363587103598138,-3.4865284562708343,1.234632879028172,-24.001514139439355,-33.471856913758344,-33.26352254773417
330,KEYS,True,52,12,15,25,0,12,267.1334031695849,0.0,191.86016252956375,277.5299987792969,-4.3692474584370045,-0.804203306103701,15.859566902377189,39.79247493363622,56.61079412259814,78.51032134830888
334,KKR,False,55,33,35,0,12,0,0.0,128.36570871611553,0.0,90.0,-0.662249982589654,4.736412987745646,-11.45218364772434,-31.77149075887189,-39.5317561721899,-22.290710244284192
339,LVS,False,67,35,14,0,20,0,0.0,65.37527916875284,0.0,52.93000030517578,-2.0721534647438333,-1.3971683974220948,-8.88276783242913,-19.97870986732711,0.3993896998904348,23.049893922061827
349,LYB,True,53,20,6,34,0,4,66.88549756662783,0.0,43.72321821056372,73.31999969482422,-1.6762773301804912,1.4107836791323722,34.12292090226152,69.58458460401496,44.89505051169057,8.756726990506786
351,MPC,True,53,41,8,30,0,4,222.10908851767687,0.0,185.33345351734067,232.52999877929688,-1.3784036037094816,2.807501241994499,18.35394581083451,33.92282243282058,26.937239680795333,58.800260848198484
390,OXY,True,54,12,22,33,0,6,55.899640139360734,0.0,40.559150017963056,60.709999084472656,1.896604932343228,4.889422882053821,18.37424911372324,50.13106359567718,29.545258816820187,29.326190314440836
400,PNR,False,51,23,37,0,2,0,0.0,101.98984051849544,0.0,86.48999786376953,-2.260142443532435,-2.0387394190651213,-13.923173791572815,-16.354925108831996,-22.074296840227596,-1.8892292598898182
404,PSX,True,53,12,11,37,0,9,167.61997665249837,0.0,136.67820882326538,175.47000122070312,-1.609282929304251,1.5804073409312807,13.836019576909337,34.03482205329106,35.833199562531085,41.018018557141986
423,RTX,True,68,19,17,34,0,10,197.18710054098852,0.0,172.69637975432624,198.16000366210938,-1.2803228815478416,-3.10972055421962,-3.209108079741907,12.199876712109816,26.179895302649342,48.91005310904698
430,HOOD,False,66,8,18,0,5,0,0.0,119.01161719751629,0.0,70.88999938964844,-4.409390656666975,-3.406458673922024,-6.292137528380792,-38.782385560073315,-41.36961604289169,65.63084264792403
465,TPL,True,61,19,12,39,0,6,501.4917749659,0.0,292.71044570154857,519.4099731445312,-2.4618879865321963,-2.2066220380200767,6.873782130529987,76.67216785449627,71.13322701371064,13.202519663420556
489,VLO,True,53,14,35,34,0,12,226.72661458028912,0.0,169.2072254923896,239.86000061035156,-0.9129618073284042,4.020124211666717,20.387469382287872,48.1351347505473,48.21404949178859,84.48214147398268
