ticker,almost_up_cond_date,breakout_date,trade_date,trade_price,stop_loss_price,stop_loss_pct_vs_trade,target_gain_price,stop_loss_threshold,trade_outcome,exit_date,exit_price
RSG,2018-12-20,2019-02-05,2019-02-06,70.3886,64.2867,-8.67%,82.5923,64.2867,PENDING,,
RTX,2020-12-21,2021-02-24,2021-02-25,68.5442,60.8471,-11.23%,83.9386,60.8471,PENDING,,
RTX,2021-01-25,2021-02-24,2021-02-25,68.5442,58.4283,-14.76%,88.7762,58.4283,PENDING,,
RTX,2026-02-25,2026-03-02,2026-03-03,213.01,193.7801,-9.03%,251.4698,193.7801,PENDING,,
SBAC,2009-06-17,2009-09-18,2009-09-21,25.2622,20.6177,-18.39%,34.5513,20.6177,PENDING,,
SBAC,2020-03-12,2020-04-17,2020-04-20,289.2714,235.4236,-18.61%,396.9669,235.4236,PENDING,,
SBAC,2020-03-19,2020-04-17,2020-04-20,289.2714,216.0324,-25.32%,435.7492,216.0324,PENDING,,
SJM,2009-09-18,2009-11-20,2009-11-23,36.5625,32.4076,-11.36%,44.8722,32.4076,PENDING,,
SJM,2009-10-26,2009-11-20,2009-11-23,36.5625,32.7182,-10.51%,44.251,32.7182,PENDING,,
SJM,2009-11-03,2009-11-20,2009-11-23,36.5625,32.4279,-11.31%,44.8317,32.4279,PENDING,,
SJM,2009-11-19,2009-11-20,2009-11-23,36.5625,33.5081,-8.35%,42.6713,33.5081,PENDING,,
SLB,2025-12-16,2026-01-05,2026-01-06,44.0204,37.3466,-15.16%,57.3681,37.3466,PENDING,,
SNPS,2009-05-13,2009-09-10,2009-09-11,22.3,20.0705,-10.00%,26.759,20.0705,PENDING,,
SNPS,2012-06-25,2012-07-18,2012-07-19,30.99,27.9194,-9.91%,37.1311,27.9194,PENDING,,
SNPS,2015-01-05,2015-02-18,2015-02-19,46.06,42.4893,-7.75%,53.2014,42.4893,PENDING,,
SO,2009-04-30,2009-06-25,2009-06-26,15.2268,13.6705,-10.22%,18.3393,13.6705,PENDING,,
SO,2021-01-12,2021-04-15,2021-04-16,53.9426,48.2427,-10.57%,65.3425,48.2427,PENDING,,
SO,2021-02-24,2021-04-15,2021-04-16,53.9426,48.2682,-10.52%,65.2915,48.2682,PENDING,,
SOLV,2024-05-30,2024-09-16,2024-09-17,71.5,56.9391,-20.36%,100.6219,56.9391,PENDING,,
SOLV,2024-06-04,2024-09-16,2024-09-17,71.5,55.5566,-22.30%,103.3867,55.5566,PENDING,,
SOLV,2024-06-05,2024-09-16,2024-09-17,71.5,54.7742,-23.39%,104.9515,54.7742,PENDING,,
SOLV,2024-06-14,2024-09-16,2024-09-17,71.5,52.8246,-26.12%,108.8507,52.8246,PENDING,,
SPGI,2011-09-22,2012-01-10,2012-01-11,38.4274,34.1488,-11.13%,46.9845,34.1488,PENDING,,
SPY,2009-02-05,2009-06-01,2009-06-02,69.7183,58.6305,-15.90%,91.894,58.6305,PENDING,,
SRE,2018-11-15,2019-03-21,2019-03-22,50.7614,43.8913,-13.53%,64.5015,43.8913,PENDING,,
SRE,2018-12-20,2019-03-21,2019-03-22,50.7614,44.1681,-12.99%,63.9478,44.1681,PENDING,,
SRE,2025-11-03,2026-02-26,2026-02-27,96.18,89.7176,-6.72%,109.1048,89.7176,PENDING,,
SRE,2025-12-08,2026-02-26,2026-02-27,96.18,87.4549,-9.07%,113.6302,87.4549,PENDING,,
STE,2013-04-17,2013-05-07,2013-05-08,37.7593,33.4736,-11.35%,46.3307,33.4736,PENDING,,
STE,2025-03-21,2025-05-15,2025-05-16,244.7988,216.726,-11.47%,300.9444,216.726,PENDING,,
STLD,2009-02-20,2009-05-27,2009-05-28,10.0316,6.6343,-33.87%,16.8262,6.6343,PENDING,,
STLD,2012-11-16,2012-12-18,2012-12-19,10.5861,9.0058,-14.93%,13.7468,9.0058,PENDING,,
STLD,2013-06-24,2013-08-12,2013-08-13,12.524,10.7205,-14.40%,16.1309,10.7205,PENDING,,
STT,2009-04-21,2009-05-08,2009-05-11,28.9692,19.3445,-33.22%,48.2185,19.3445,PENDING,,
STT,2011-11-21,2012-01-10,2012-01-11,30.0953,25.8436,-14.13%,38.5986,25.8436,PENDING,,
STT,2013-06-24,2013-07-09,2013-07-10,49.5264,45.8082,-7.51%,56.9629,45.8082,PENDING,,
STX,2014-05-01,2014-07-01,2014-07-02,34.7163,29.3925,-15.34%,45.3639,29.3925,PENDING,,
SWK,2022-11-03,2022-11-11,2022-11-14,73.9502,62.4222,-15.59%,97.0064,62.4222,PENDING,,
SWK,2022-12-22,2023-01-11,2023-01-12,77.2772,63.6917,-17.58%,104.4482,63.6917,PENDING,,
SWK,2023-05-25,2023-06-13,2023-06-14,81.1216,69.2288,-14.66%,104.9073,69.2288,PENDING,,
SWK,2025-09-22,2026-01-06,2026-01-07,80.75,73.8661,-8.52%,94.5178,73.8661,PENDING,,
SWKS,2016-11-04,2017-01-20,2017-01-23,72.4731,59.7593,-17.54%,97.9007,59.7593,PENDING,,
SYK,2009-10-06,2009-10-22,2009-10-23,39.9433,35.074,-12.19%,49.6819,35.074,PENDING,,
SYY,2009-04-21,2009-05-01,2009-05-04,15.0354,13.1643,-12.44%,18.7777,13.1643,PENDING,,
SYY,2020-09-21,2020-11-09,2020-11-10,63.9952,55.0582,-13.97%,81.8693,55.0582,PENDING,,
T,2011-01-11,2011-03-29,2011-03-30,7.8711,7.2923,-7.35%,9.0286,7.2923,PENDING,,
TAP,2021-10-27,2022-01-05,2022-01-06,44.2464,37.6377,-14.94%,57.4636,37.6377,PENDING,,
TAP,2021-10-28,2022-01-05,2022-01-06,44.2464,37.4057,-15.46%,57.9276,37.4057,PENDING,,
TAP,2021-11-30,2022-01-05,2022-01-06,44.2464,38.7529,-12.42%,55.2333,38.7529,PENDING,,
TAP,2021-12-20,2022-01-05,2022-01-06,44.2464,38.1736,-13.72%,56.392,38.1736,PENDING,,
TDY,2006-12-19,2007-04-25,2007-04-26,45.82,39.9174,-12.88%,57.6252,39.9174,PENDING,,
TDY,2009-11-19,2010-01-04,2010-01-05,39.58,33.9004,-14.35%,50.9392,33.9004,PENDING,,
TDY,2009-11-27,2010-01-04,2010-01-05,39.58,33.473,-15.43%,51.794,33.473,PENDING,,
TDY,2009-11-30,2010-01-04,2010-01-05,39.58,33.0432,-16.52%,52.6537,33.0432,PENDING,,
TECH,2025-08-01,2025-10-02,2025-10-03,62.2521,53.3678,-14.27%,80.0208,53.3678,PENDING,,
TEL,2024-04-24,2024-05-14,2024-05-15,145.8428,134.8069,-7.57%,167.9146,134.8069,PENDING,,
TER,2022-09-23,2023-02-01,2023-02-02,108.4568,76.6424,-29.33%,172.0858,76.6424,PENDING,,
TER,2022-10-10,2023-02-01,2023-02-02,108.4568,74.0092,-31.76%,177.3521,74.0092,PENDING,,
TER,2022-10-11,2023-02-01,2023-02-02,108.4568,72.8691,-32.81%,179.6324,72.8691,PENDING,,
TFC,2009-05-13,2009-09-16,2009-09-17,16.553,11.58,-30.04%,26.4989,11.58,PENDING,,
TFC,2009-06-17,2009-09-16,2009-09-17,16.553,11.9632,-27.73%,25.7325,11.9632,PENDING,,
TGT,2009-01-30,2009-04-13,2009-04-14,24.9707,19.5383,-21.75%,35.8354,19.5383,PENDING,,
TGT,2009-11-13,2010-01-26,2010-01-27,33.0362,30.642,-7.25%,37.8246,30.642,PENDING,,
TGT,2009-11-17,2010-01-26,2010-01-27,33.0362,30.4439,-7.85%,38.2209,30.4439,PENDING,,
TGT,2012-12-20,2013-03-04,2013-03-05,45.2601,40.8376,-9.77%,54.1052,40.8376,PENDING,,
TJX,2006-08-31,2006-09-11,2006-09-12,5.285,4.9626,-6.10%,5.9299,4.9626,PENDING,,
TJX,2022-09-23,2022-10-25,2022-10-26,67.4103,58.0619,-13.87%,86.1069,58.0619,PENDING,,
TKO,2006-02-17,2006-03-02,2006-03-03,7.4444,6.5958,-11.40%,9.1414,6.5958,PENDING,,
TKO,2025-07-16,2025-08-12,2025-08-13,186.5933,163.0429,-12.62%,233.6941,163.0429,PENDING,,
TMO,2009-02-27,2009-06-09,2009-06-10,38.6573,33.6715,-12.90%,48.629,33.6715,PENDING,,
TMO,2020-09-04,2020-10-05,2020-10-06,445.7571,396.3159,-11.09%,544.6394,396.3159,PENDING,,
TMUS,2017-01-10,2017-01-19,2017-01-20,58.2082,53.2641,-8.49%,68.0964,53.2641,PENDING,,
TMUS,2021-11-29,2022-02-08,2022-02-09,121.7525,107.6842,-11.55%,149.8893,107.6842,PENDING,,
TPL,2009-02-17,2009-05-14,2009-05-15,2.8734,2.0868,-27.38%,4.4466,2.0868,PENDING,,
TPL,2009-02-18,2009-05-14,2009-05-15,2.8734,2.0336,-29.23%,4.5529,2.0336,PENDING,,
TPR,2026-01-20,2026-02-05,2026-02-06,145.43,128.3011,-11.78%,179.6878,128.3011,PENDING,,
TRGP,2022-09-22,2022-11-15,2022-11-16,68.4649,60.7037,-11.34%,83.9873,60.7037,PENDING,,
TRI,2006-09-05,2006-10-25,2006-10-26,24.7281,23.1752,-6.28%,27.8338,23.1752,PENDING,,
TRI,2006-09-08,2006-10-25,2006-10-26,24.7281,22.5275,-8.90%,29.1293,22.5275,PENDING,,
TRI,2009-07-08,2009-07-23,2009-07-24,20.5814,17.749,-13.76%,26.2463,17.749,PENDING,,
TRI,2009-10-26,2010-02-16,2010-02-17,23.1974,20.5099,-11.59%,28.5725,20.5099,PENDING,,
TRI,2024-04-19,2024-05-02,2024-05-03,159.3376,144.9863,-9.01%,188.0403,144.9863,PENDING,,
TRMB,2009-05-21,2009-07-29,2009-07-30,11.895,9.2909,-21.89%,17.1033,9.2909,PENDING,,
TRMB,2009-07-07,2009-07-29,2009-07-30,11.895,9.2487,-22.25%,17.1875,9.2487,PENDING,,
TRMB,2009-07-08,2009-07-29,2009-07-30,11.895,9.1364,-23.19%,17.4122,9.1364,PENDING,,
TRMB,2012-09-25,2012-11-19,2012-11-20,27.06,23.685,-12.47%,33.81,23.685,PENDING,,
TRMB,2016-01-04,2016-03-01,2016-03-02,24.35,21.1185,-13.27%,30.8129,21.1185,PENDING,,
TRV,2009-10-21,2009-10-22,2009-10-23,35.2632,32.1636,-8.79%,41.4626,32.1636,PENDING,,
TSCO,2024-04-12,2024-04-26,2024-04-29,52.8971,47.278,-10.62%,64.1353,47.278,PENDING,,
TSN,2024-03-04,2024-04-23,2024-04-24,56.4564,48.8527,-13.47%,71.6637,48.8527,PENDING,,
