,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
149,BRK.B,False,7,8,27,0,1,0,0.0,471.07538755662716,0.0
150,BBY,False,5,35,7,0,8,0,0.0,62.2335161733878,0.0
151,TECH,False,5,11,35,0,9,0,0.0,56.16870969325517,0.0
152,BIIB,True,6,13,5,2,0,0,178.94300881617824,0.0,180.75394064588437
153,BLK,True,16,42,43,13,0,15,1003.2260205938885,0.0,1061.683852732016
154,BX,False,4,17,46,0,12,0,0.0,122.05106578248056,0.0
155,XYZ,True,43,29,13,22,0,5,67.2213875527775,0.0,65.39260838305891
156,BK,True,20,33,52,15,0,26,131.1768998361009,0.0,117.85005970092244
157,BA,True,20,44,38,17,0,33,217.38763991240205,0.0,241.87280267751922
158,BSX,False,2,3,69,0,0,0,0.0,58.83030714034497,0.0
159,BMY,True,9,8,5,1,0,2,57.26560973862586,0.0,57.941770068319
160,BR,False,34,6,42,0,2,0,0.0,180.45682887730456,0.0
161,BRO,False,81,13,40,0,5,0,0.0,78.50600246485101,0.0
162,BF.B,False,1,23,21,0,15,0,0.0,25.313795976242957,0.0
163,BLDR,True,13,36,10,9,0,5,82.6990149896377,0.0,111.59741692805835
164,BG,False,11,12,5,0,5,0,0.0,122.14601344923928,0.0
165,BXP,True,12,87,7,8,0,4,55.77927216881434,0.0,67.84329984770831
166,CHRW,True,10,43,37,8,0,27,173.51935146933988,0.0,185.29628410021505
167,CPT,True,19,18,17,8,0,1,100.01980900371002,0.0,104.64737419909405
168,CPB,False,50,12,40,0,8,0,0.0,27.144790656552782,0.0
169,COF,False,4,12,59,0,9,0,0.0,192.36179405202836,0.0
170,CAH,False,7,9,19,0,4,0,0.0,209.83143382973904,0.0
171,CCL,True,16,26,21,8,0,13,25.228690256680288,0.0,30.172121613587148
172,CARR,True,15,30,59,3,0,24,57.57213426683697,0.0,61.675439893433385
